"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35920","1.5. Add item from Scan page -- redirect to Item View/Media tab","Add Item","Wed May 28 21:32:19 UTC 2025","passed","Wed May 28 21:32:55 UTC 2025","","1. Org Admin","",""
"","818","1.1 Email & Task - when Case created - all records - 1 user as email recipient","Workflows","Wed May 28 21:17:34 UTC 2025","failed","Wed May 28 21:17:35 UTC 2025","","1. Case Workflows - all case fields enabled in Org Settings","",""
"","87830","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases","Auto-Disposition","Wed May 28 21:17:11 UTC 2025","failed","Wed May 28 21:18:39 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","67609","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Wed May 28 21:25:25 UTC 2025","failed","Wed May 28 21:26:33 UTC 2025","","Edit Item","",""
"","8","A.U_3. Add External User","Add User","Wed May 28 21:55:02 UTC 2025","skipped","Wed May 28 21:55:02 UTC 2025","","1.1 Org Admin","",""
"","53640","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ","Add Item","Wed May 28 21:30:56 UTC 2025","passed","Wed May 28 21:31:49 UTC 2025","","1. Org Admin","",""
"","164","2.2. Scanning some barcodes multiple times and checking all types of discrepancies in one Report: ""Barcode valid but not found in the system""""Items Not Scanned"", ""Wrong Storage Location"",""Container Not Scanned"",""Containers in Wrong Location""","Inventory Reports","Wed May 28 21:16:00 UTC 2025","failed","Wed May 28 21:16:00 UTC 2025","","2. Parent/child locations with items and containers","",""
"","0","4. Import update for item status (Disposal transaction)","","Wed May 28 21:16:26 UTC 2025","skipped","Wed May 28 21:16:26 UTC 2025","","Import Item Updates","",""
"","179","1.1.1 'equals' correct Person's name","Search Checkouts","Wed May 28 21:16:28 UTC 2025","failed","Wed May 28 21:16:28 UTC 2025","1.1 Checked Out To","1 Org Admin","",""
"","0","I.C_4 Five thousand cases and verify cases count on search by ","","Wed May 28 21:16:17 UTC 2025","skipped","Wed May 28 21:16:17 UTC 2025","","Import Cases","",""
"","2","I.N_5 Five thousand tasks and verify count on search","","Wed May 28 21:16:54 UTC 2025","skipped","Wed May 28 21:16:54 UTC 2025","","Import Tasks","",""
"","17971","1.3. Business Name populated only -- redirect to Add Item page","Add Person","Wed May 28 21:47:28 UTC 2025","passed","Wed May 28 21:47:46 UTC 2025","","1. Org Admin","",""
"","34050","1.1.4 validation message for inactive user account","Add User","Wed May 28 21:54:28 UTC 2025","passed","Wed May 28 21:55:02 UTC 2025","","1.1 Org Admin","",""
"","0","6 Validation messages for blank values","","Wed May 28 21:16:45 UTC 2025","skipped","Wed May 28 21:16:45 UTC 2025","","Import Legacy Chain of Custody","",""
"","1","1. Import Person with all updated fields","","Wed May 28 21:17:47 UTC 2025","broken","Wed May 28 21:17:47 UTC 2025","","Import People Updates","",""
"","736","I.T_1.1 Import Legacy Tasks for Case","","Wed May 28 21:16:53 UTC 2025","failed","Wed May 28 21:16:53 UTC 2025","","Import Tasks","",""
"","24881","4.  Case Number Formatting at Org level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Wed May 28 21:22:11 UTC 2025","passed","Wed May 28 21:22:35 UTC 2025","","Edit Case","",""
"","0","2 Import Locations with required fields - verify default properties","","Wed May 28 21:17:04 UTC 2025","skipped","Wed May 28 21:17:04 UTC 2025","","Import Locations","",""
"","50792","3.3 --- with required Currency Form attached - System Template","Add Item","Wed May 28 21:38:33 UTC 2025","passed","Wed May 28 21:39:24 UTC 2025","","3 Add Item with Custom Form","",""
"","45647","1.8. Add Item from Person View/ Items Custodian tab -- redirect to Split Item page and complete the action","Add Item","Wed May 28 21:34:15 UTC 2025","passed","Wed May 28 21:35:01 UTC 2025","","1. Org Admin","",""
"","34331","4.1 verify Org Default Case Number Prefix, clear a default value and save the other one","Add Case","Wed May 28 21:21:11 UTC 2025","passed","Wed May 28 21:21:45 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","136","2.1. Create and run DR for 2 storage locations that have: container with item, empty container, sub-location, empty sub-container and sub-container with item - No Discrepancies Found","Inventory Reports","Wed May 28 21:15:59 UTC 2025","failed","Wed May 28 21:16:00 UTC 2025","","2. Parent/child locations with items and containers","",""
"","148","1.2 Validation messages","","Wed May 28 21:17:07 UTC 2025","failed","Wed May 28 21:17:07 UTC 2025","","Login page","",""
"","47513","4. Edit and verify reduced number of values on Item View page ","","Wed May 28 21:29:33 UTC 2025","passed","Wed May 28 21:30:20 UTC 2025","","Edit Item","",""
"","4","5 Five thousand notes for Item and verify notes count on search","","Wed May 28 21:17:25 UTC 2025","skipped","Wed May 28 21:17:25 UTC 2025","","Import Notes","",""
"","780","9 Validation messages for blank values","","Wed May 28 21:17:27 UTC 2025","failed","Wed May 28 21:17:28 UTC 2025","","Import Notes","",""
"","1","1.4 Org Admin-- minimum case fields -- redirect to Add Person page","Add Case","Wed May 28 21:17:09 UTC 2025","skipped","Wed May 28 21:17:09 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","717","I.T_1.2 Import Legacy Tasks for Case - Precheck Only","","Wed May 28 21:16:53 UTC 2025","failed","Wed May 28 21:16:54 UTC 2025","","Import Tasks","",""
"","114909","7.1 verify all values are properly saved to the custom form -single user in custom User/User Group field","Add Case","Wed May 28 21:24:29 UTC 2025","passed","Wed May 28 21:26:24 UTC 2025","","7. --- with required Custom Form filled out, all required fields on Form","",""
"","6623","1. Edit and verify all values on Person View page","","Wed May 28 21:31:53 UTC 2025","failed","Wed May 28 21:32:00 UTC 2025","","Edit Person","",""
"","0","1.4. Create and run DR for multiple parent and child locations - starting with Child loc -  No Discrepancies Found","Inventory Reports","Wed May 28 21:15:58 UTC 2025","skipped","Wed May 28 21:15:58 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","15470","3.2 verify Office Case Number Format with custom validation message","Add Case","Wed May 28 21:20:50 UTC 2025","passed","Wed May 28 21:21:06 UTC 2025","","3. --- with Case Number formatting in Office ","",""
"","665","I.U_1 Import and verify User with all fields","","Wed May 28 21:17:56 UTC 2025","failed","Wed May 28 21:17:56 UTC 2025","","Import Users","",""
"","0","1.5 Org Admin-- minimum case fields -- redirect to Media tab on Case View page","Add Case","Wed May 28 21:17:09 UTC 2025","skipped","Wed May 28 21:17:09 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","2","1 Import Locations with all fields","","Wed May 28 21:17:04 UTC 2025","broken","Wed May 28 21:17:04 UTC 2025","","Import Locations","",""
"","43168","1.7. Add Item from Person View/ ""Items Belonging to"" tab -- redirect to Add Duplicate Item page and complete the action","Add Item","Wed May 28 21:33:31 UTC 2025","passed","Wed May 28 21:34:14 UTC 2025","","1. Org Admin","",""
"","22935","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases","","Wed May 28 21:23:00 UTC 2025","passed","Wed May 28 21:23:23 UTC 2025","","Edit Case","",""
"","8780","1.3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add User","Wed May 28 21:55:23 UTC 2025","failed","Wed May 28 21:55:32 UTC 2025","","1.3 --- with Custom Forms","",""
"","0","I.C_5 Case Import - Precheck Only","","Wed May 28 21:16:17 UTC 2025","skipped","Wed May 28 21:16:17 UTC 2025","","Import Cases","",""
"","0","1.7 Power User can add case and view/enter/update Review Date/Notes when having AutoDispo permissions","Add Case","Wed May 28 21:17:09 UTC 2025","skipped","Wed May 28 21:17:09 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","63218","A.N_1. Add Note to Case","","Wed May 28 21:45:11 UTC 2025","failed","Wed May 28 21:46:14 UTC 2025","","Add Notes","",""
"","87772","3.2. --- with required Custom Form but not filled out, all optional fields on Form","Add Person","Wed May 28 21:49:26 UTC 2025","failed","Wed May 28 21:50:54 UTC 2025","","3. Add Person with Custom Form","",""
"","230","S.I_1. Search by Item Description","","Wed May 28 21:16:38 UTC 2025","failed","Wed May 28 21:16:38 UTC 2025","","Search Item","",""
